Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
WHR,"Whirlpool Corp",183.89,184.78,180.68,186.85,164.06,881500,455000,669705,13.85,63.01,2.66%
WLTW,"Willis Towers WT",208.82,208.6,204.83,218.78,194.71,888500,681700,884768,11.35,81.14,1.31%
WM,"Waste Management",113.17,114.65,113.33,118.92,109.06,2086500,1042600,1782091,4.19,16.32,1.92%
WMB,"Williams Companies",19.65,20.63,20.09,21.64,19.33,11770801,7138700,10368618,1.01,12.43,7.90%
WMT,"Wal-Mart Stores",139.91,138.14,136.39,151.33,134.75,11602699,9240899,12902281,5.28,28.65,1.58%
WRB,"W.R. Berkley Corp",61.15,61.76,60.12,65.4,58.84,858700,668700,714364,2.31,32.84,0.79%
WRK,"Westrock Company",34.74,35.02,33.82,39.24,30.04,2098800,2878700,3421714,3.25,45.18,2.34%
WST,"West Pharmaceutical Services",274.9,277.14,273.49,288.65,254.01,476500,248100,548018,3.87,21.75,0.23%
WU,"Western Union Company",21.43,22.17,21.73,24.08,21.07,4639300,2380000,3444886,1.72,-0.18,4.13%
WY,"Weyerhaeuser Company",28.52,28.6,27.85,31,26.51,5067900,2999600,4667655,0.4,10.99,0.00%
WYNN,"Wynn Resorts Ltd",71.81,73.09,70.55,91.9,68.79,4415900,4266400,3620077,-10.13,2.54,0.00%
XEL,"XCEL Energy Inc",69.01,69.52,68.4,72.43,65.69,3191100,2066100,2315509,2.67,25.48,2.51%
XLNX,"Xilinx Inc",104.24,104.56,102.97,109.3,96.71,1982200,932200,1766055,3.05,9.49,1.47%
XOM,"Exxon Mobil Corp",34.33,35.11,33.99,40.72,33.76,22214400,20788801,28005031,0.92,44.26,10.15%
XRAY,"Dentsply Sirona Inc",43.73,43.67,42.74,48.11,41.52,1160000,1042800,1310227,1.55,21.2,0.94%
XRX,"Xerox Corp",18.77,18.64,18.23,19.59,17.35,2837500,1728700,3104136,2.77,26.74,5.42%
XYL,"Xylem Inc",84.12,84.39,83.3,87.64,79.72,879900,891500,980977,2.34,15.92,1.24%
YUM,"Yum! Brands",91.3,91.88,90.24,98.65,88.08,1733200,1612600,1625759,3.26,-26.9,2.07%
ZBH,"Zimmer Biomet Holdings",136.14,136.93,131.79,147.92,129.15,1009900,831500,946836,5.82,56.24,0.72%
ZBRA,"Zebra Technologies",252.46,263.09,257.63,295.52,246.83,596300,191900,355382,11.31,33.8,0.00%
ZION,"Zions Bancorp",29.22,29.56,28.54,33.97,27.55,1911600,1437200,1646918,2.69,46.19,4.69%
ZM,"Zoom Video Communications Cl A",470.11,489.8,463,529.74,301.27,8952100,15241100,16521482,0.87,4.21,0.00%
ZTS,"Zoetis Inc Cl A",165.37,163.41,161.44,166.79,152.5,1906700,1046300,1534327,3.7,6.29,0.49%
"Downloaded from Barchart.com as of 09-30-2020 07:08pm CDT"
