Symbol,Name,Open,Last,"Prev Open",Previous,"Open 2D Ago","Last 2D Ago","1M MA","1M High","1M Low",Volume,"Prev Vol","5D Avg Vol","1M Avg Vol"
AME,"Amtek Inc",109.46,109.85,106.4,109.01,106.87,107.9,102.42,110.82,94.9,1475830,660900,911320,925950
AMGN,"Amgen Inc",235.35,235.72,236,235.01,240.4,237.65,245.18,258.51,232.87,2059900,2531200,2446520,2825223
AMT,"American Tower Corp",239.7,242.72,238.55,239.6,242.88,238.5,241.91,260.4,234.97,1479993,1791000,1674520,2272859
AMZN,"Amazon.com Inc",3363.23,3272.71,3292.01,3338.65,3447,3363.71,3173.43,3496.24,2871,6474300,5223400,6327060,5468291
ANET,"Arista Networks Inc",226.44,225.45,223.36,226.23,228.1,228.03,210.82,233.28,192.96,423956,465500,584320,691877
ANSS,"Ansys Inc",353.55,349.72,348.31,351.7,354.13,351.4,326.03,357.92,298.35,521800,295400,393660,443164
ANTM,"Anthem Inc",295.1,296.87,287.48,294.9,295.26,292.34,274.64,300.92,244.1,768940,785000,895160,1169618
AON,"AON Plc",213.36,212.88,208.53,212.78,211.46,210.09,205.44,216.49,192.19,1706050,1058500,1413600,1384805
AOS,"Smith [A.O.] Corp",56.18,55.37,55,55.83,55.57,55.57,54.1,58.05,51.3,1155181,893200,1145200,1382186
APA,"Apache Corp",9.64,9.37,9.1,9.76,9.28,9.2,10.23,12.86,8.75,10041200,16490600,13064160,12364586
APD,"Air Products and Chemicals",297.69,298.14,296.85,295.96,299.99,297.91,296.28,306.82,284.23,1398650,1054200,986600,918773
APH,"Amphenol Corp",115,115.16,112.21,114.36,113.77,113.48,109.85,116.1,101.69,2972622,1362100,1778340,1472159
APTV,"Aptiv Plc",98.54,98.2,94.98,97.68,97.01,95.74,92.27,100.82,82.12,1459631,1628000,1424680,1743386
ARE,"Alexandria Real Estate Equities",162.01,162.06,161,161.93,165.36,162.27,161.93,168.09,154.18,696318,483500,619800,941618
ASML,"Asml Hld NY Reg",390.76,386.9,383.8,386.57,402.64,398.03,376.29,409.11,351.09,594600,786400,840800,766573
ATO,"Atmos Energy Corp",94.37,94.49,94.41,94.5,95.32,95.04,94.92,97.87,90.49,923163,967600,827820,934950
ATVI,"Activision Blizzard",80.95,80.62,81.02,80.35,82.51,81.9,80.32,83.54,77.35,4683900,3864100,5211940,5871759
AVB,"Avalonbay Communities",152.89,148.94,152.21,153.16,154.78,153.62,153.07,162.33,145.01,1420600,683100,969920,1125323
AVGO,"Broadcom Ltd",383.28,378.65,375.05,379.93,383.54,380.3,366.86,387.8,343.48,1029700,1437300,1550820,1822377
AVY,"Avery Dennison Corp",133.72,134.02,129.79,132.86,129.39,131.18,126.39,134.48,115.77,435533,419700,445460,593459
AWK,"American Water Works",156.58,155.72,154.54,155.86,155.62,155.76,148.41,160,137.01,1120166,513800,675900,793282
AXP,"American Express Company",104.65,104.91,103.43,104.43,105.38,104.81,101.77,107.21,93.71,2394339,2699300,2629880,4021900
AZO,Autozone,1192.44,1193.38,1160,1193.26,1192.55,1169.03,1165.06,1236.01,1108.62,250231,202600,203080,237923
BA,"Boeing Company",171.22,167.35,161.01,164.24,162.7,163.24,162.77,175.56,145.02,31780625,13226801,16581660,24089105
BAC,"Bank of America Corp",24.2,24.24,23.59,24.15,24.35,23.62,24.38,25.83,22.95,58357722,66832398,72460641,59423539
BAX,"Baxter International Inc",80.63,81.82,79.24,80.56,80.32,80.04,80.05,83.79,77.72,1779797,2154100,2055920,2693941
BBY,"Best Buy Company",120.89,119.35,117.43,120.56,118.93,118.44,112.17,121.1,103.49,1855426,1625400,1537480,1990482
BDX,"Becton Dickinson and Company",235.81,236.99,232.17,235.01,236.78,233.69,231.5,240.5,219.5,1055055,1144100,974320,1391809
BF.B,"Brown Forman Inc Cl B",76.51,75.95,76.66,76.26,77.67,77.49,76.39,79.32,73.66,831745,761500,768920,856559
BIDU,"Baidu Inc",131.9,130.37,133.2,130.04,127.8,136.07,126.14,138.98,120.24,2525300,6418800,5155860,3087436
